,AL627309.3,LINC01409,LINC01128,AL645608.2,SAMD11,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,TNFRSF4,SDF4,C1QTNF12,UBE2J2,SCNN1D,ACAP3,INTS11,CPTP,DVL1,AURKAIP1,CCNL2,MRPL20.AS1,MRPL20,AL391244.2,ANKRD65,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,AL691432.4,AL691432.2,MIB2,CDK11B,SLC35E2B,CDK11A,SLC35E2A,NADK,GNB1,CFAP74,GABRD,PRKCZ,FAAP20,SKI
AL691432.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL691432.2,0.000233109,0.000233109,0.000469861,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.001973759,0.000233109,0.001712513,0.001712513,0.000710372,0.000469861,0.002239589,0.03094775,0.000233109,0.001973759,0.000469861,0.000469861,0.001203158,0.000469861,0.044434845,0.000233109,0.001203158,0.002239589,0.0,10.0,0.040606491,0.037555654,0.035018578,0.000710372,0.000469861,0.001455695,0.032846652,0.000233109,0.000469861,0.000469861,0.001712513,0.005520428
MIB2,0.001203158,0.040606491,0.002425744,0.040606491,0.040606491,0.009483595,0.0,0.0,0.006216609,0.009483595,0.006674236,0.020572079,0.001203158,0.004659831,0.002425744,0.010207335,0.001203158,0.025146257,0.003177226,0.01362991,0.002425744,0.001272052,0.050625954,0.001203158,0.002078451,0.002425744,0.002425744,0.006216609,0.020572079,0.044277925,0.001203158,0.006674236,0.003170955,0.0,0.040606491,10.0,0.029950274,0.119050704,0.003668396,0.020572079,0.004659831,0.113413125,0.001203158,0.002425744,0.002425744,0.025146257,0.044032384
CDK11B,0.037555654,0.037555654,0.017773779,0.001455695,0.001455695,0.007203361,0.0,0.0,0.007523617,0.005968213,0.007523617,0.017773779,0.001455695,0.002916003,0.017773779,0.012356333,0.037555654,0.001708895,0.001708895,0.004438996,0.002935099,0.000370216,0.052229118,0.001455695,0.00089072,0.002935099,0.017773779,0.007523617,0.002935099,0.037908088,0.001455695,0.029950274,0.017030725,0.0,0.037555654,0.029950274,10.0,0.019574072,0.011088429,0.017773779,0.002916003,0.102958955,0.001455695,0.002935099,0.017773779,0.001708895,0.02873073
SLC35E2B,0.001712513,0.001712513,0.015493522,0.035018578,0.035018578,0.005450178,0.0,0.0,0.008853585,0.005450178,0.025146257,0.015493522,0.001712513,0.019574072,0.003453162,0.000250106,0.035018578,0.015316129,0.015316129,0.044651315,0.003453162,0.031958058,0.108513683,0.001712513,0.037473459,0.015493522,0.003453162,0.008853585,0.015493522,0.005450178,0.001712513,0.008853585,0.047589008,0.0,0.035018578,0.119050704,0.019574072,10.0,0.044651315,0.072341122,0.019574072,0.092736013,0.001712513,0.003453162,0.015493522,0.015316129,0.080747485
CDK11A,0.000710372,0.000710372,0.029056104,0.000710372,0.000710372,0.016957333,0.0,0.0,0.003668396,0.002910644,0.01362991,0.001432024,0.000710372,0.011088429,0.001432024,0.007424568,0.049583301,0.00522289,0.00522289,0.021613002,0.001432024,0.006062072,0.062737815,0.000710372,0.007424568,0.029056104,0.029056104,0.01362991,0.001432024,0.002910644,0.000710372,0.003668396,0.053630084,0.0,0.000710372,0.003668396,0.011088429,0.044651315,10.0,0.029056104,0.011088429,0.018926021,0.000710372,0.001432024,0.029056104,0.00522289,0.013571367
SLC35E2A,0.000469861,0.000469861,0.036743596,0.000469861,0.000469861,0.024152039,0.0,0.0,0.002425744,0.001924811,0.002425744,0.036743596,0.000469861,0.002935099,0.000947124,0.003980238,0.057511304,0.015493522,0.003453162,0.001432024,0.000947124,0.01194977,0.067632124,0.000469861,0.067632124,0.000947124,0.000947124,0.002425744,0.036743596,0.001924811,0.000469861,0.002425744,0.004516645,0.0,0.000469861,0.020572079,0.017773779,0.072341122,0.029056104,10.0,0.017773779,0.019272212,0.000469861,0.000947124,0.036743596,0.003453162,0.037453264
NADK,0.037555654,0.001455695,0.017773779,0.001455695,0.001455695,0.007203361,0.0,0.0,0.007523617,0.005968213,0.029950274,0.017773779,0.037555654,0.024107512,0.002935099,0.088804536,0.001455695,0.05252194,0.019574072,0.011088429,0.002935099,0.039763756,0.062003277,0.001455695,0.015938221,0.017773779,0.002935099,0.004659831,0.017773779,0.005968213,0.001455695,0.007523617,0.039523449,0.0,0.001455695,0.004659831,0.002916003,0.019574072,0.011088429,0.017773779,10.0,0.040343445,0.001455695,0.002935099,0.017773779,0.010716689,0.065820158
GNB1,0.029260768,0.032846652,0.044455737,0.032846652,0.032846652,0.032501057,0.0,0.0,0.078634106,0.065545931,0.071572371,0.019272212,0.032846652,0.049890045,0.059975408,0.125296354,0.032846652,0.065669201,0.028237216,0.018926021,0.067632124,0.002804792,0.15506424,0.029260768,0.018238498,0.015686328,0.015686328,0.071572371,0.019272212,0.040362407,0.029260768,0.034345023,0.06218785,0.0,0.032846652,0.113413125,0.102958955,0.092736013,0.018926021,0.019272212,0.040343445,10.0,0.032846652,0.044455737,0.040869851,0.032773469,0.162427783
CFAP74,0.000233109,0.000233109,0.000469861,0.000233109,0.000233109,0.000954762,0.0,0.0,0.001203158,0.000954762,0.001203158,0.000469861,0.000233109,0.001455695,0.000469861,0.001973759,0.000233109,0.001712513,0.001712513,0.000710372,0.000469861,0.002239589,0.03094775,0.000233109,0.032846652,0.000469861,0.000469861,0.001203158,0.000469861,0.000954762,0.000233109,0.001203158,0.002239589,0.0,0.000233109,0.001203158,0.001455695,0.001712513,0.000710372,0.000469861,0.001455695,0.032846652,10.0,0.000469861,0.000469861,0.001712513,0.027743081
GABRD,0.000469861,0.000469861,0.000947124,0.000469861,0.000469861,0.001924811,0.0,0.0,0.002425744,0.024152039,0.020572079,0.000947124,0.000469861,0.002935099,0.000947124,0.003980238,0.000469861,0.015493522,0.003453162,0.001432024,0.036743596,0.004516645,0.015230609,0.000469861,0.003980238,0.000947124,0.000947124,0.002425744,0.000947124,0.001924811,0.000469861,0.020572079,0.004516645,0.0,0.000469861,0.002425744,0.002935099,0.003453162,0.001432024,0.000947124,0.002935099,0.044455737,0.000469861,10.0,0.000947124,0.003453162,0.012025939
PRKCZ,0.000469861,0.000469861,0.036743596,0.000469861,0.000469861,0.001924811,0.0,0.0,0.002425744,0.001924811,0.002425744,0.000947124,0.000469861,0.017773779,0.000947124,0.013582843,0.057511304,0.003453162,0.003453162,0.001432024,0.000947124,0.004516645,0.017129513,0.000469861,0.067632124,0.000947124,0.000947124,0.002425744,0.000947124,0.001924811,0.000469861,0.002425744,0.013848673,0.0,0.000469861,0.002425744,0.017773779,0.015493522,0.029056104,0.036743596,0.017773779,0.040869851,0.000469861,0.000947124,10.0,0.003453162,0.012025939
FAAP20,0.001712513,0.035018578,0.003453162,0.001712513,0.035018578,0.007022684,0.0,0.0,0.003177226,0.005450178,0.003177226,0.003453162,0.001712513,0.001708895,0.003453162,0.000250106,0.001712513,0.012613151,0.044160143,0.009069418,0.003453162,0.031958058,0.029773233,0.001712513,0.000250106,0.015493522,0.003453162,0.008853585,0.003453162,0.005450178,0.001712513,0.003177226,0.03856596,0.0,0.001712513,0.025146257,0.001708895,0.015316129,0.00522289,0.003453162,0.010716689,0.032773469,0.001712513,0.003453162,0.003453162,10.0,0.060920771
SKI,0.03094775,0.027743081,0.056770738,0.03094775,0.027743081,0.031749725,0.0,0.0,0.028019689,0.029045306,0.098392166,0.015230609,0.027743081,0.000383237,0.015230609,0.018194174,0.027743081,0.092503846,0.043658063,0.061902054,0.037453264,0.077613279,0.160583049,0.03094775,0.063204013,0.015230609,0.015230609,0.017042885,0.015230609,0.005641693,0.027743081,0.102463,0.039768655,0.0,0.005520428,0.044032384,0.02873073,0.080747485,0.013571367,0.037453264,0.065820158,0.162427783,0.027743081,0.012025939,0.012025939,0.060920771,10.0
