AL627309.3,LINC01409,LINC01128,AL645608.2,SAMD11,NOC2L,KLHL17,AL645608.7,HES4,ISG15,AGRN,C1orf159,TNFRSF4,SDF4,C1QTNF12,UBE2J2,SCNN1D,ACAP3,INTS11,CPTP,DVL1,AURKAIP1,CCNL2,MRPL20-AS1,MRPL20,AL391244.2,ANKRD65,VWA1,ATAD3C,ATAD3B,ATAD3A,TMEM240,SSU72,AL691432.4,AL691432.2,MIB2,CDK11B,SLC35E2B,CDK11A,SLC35E2A,NADK,GNB1,CFAP74,GABRD,PRKCZ,FAAP20,SKI
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5365024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92563146,0.0,0.0,0.0,0.0,0.0,0.0,1.3979567,0.92563146,0.0,0.0,0.0,0.92563146,0.0,0.92563146,0.0,0.0,0.0,0.0,0.0,0.0,0.92563146,1.3979567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3165636,0.0,0.0,0.0,0.0,1.717464
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4784187,0.7554965,0.7554965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1809098,0.0,0.7554965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4784187,0.0,0.0,0.7554965,0.0,0.7554965
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812461,0.0,0.0,0.0,0.0,0.0,1.7940547,0.0,0.0,0.812461,0.0,0.812461
0.0,0.0,0.0,0.0,0.0,1.6279315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6279315,0.0,0.0,0.0,1.6279315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6279315,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9234506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9195857,0.0,0.0,1.36667,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255807,1.255807,0.0,1.255807,0.0,0.0,0.0,0.0,1.255807,0.0,0.0,2.143825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.255807,0.0,1.255807,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99954045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4893169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99954045,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0379725,0.0,0.0,0.0,1.0379725,0.64801556,1.9990721,0.0,0.0,0.0,0.0,0.0,0.0,0.64801556,0.0,0.64801556,0.0,0.0,0.0,0.0,0.64801556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64801556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0379725,1.0379725,0.0,0.0,0.0,0.0,0.64801556
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1088495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6217101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.210851,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715792,0.0,0.0,0.0,0.0,0.715792,0.0,0.0,0.0,0.0,0.0,0.0,0.715792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.715792,1.1286929,0.0,0.0,0.0,0.0,1.1286929
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3369496,0.0,0.0,0.0,0.0,0.0,0.0,1.3369496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3369496,0.0,0.0,2.2430723,1.3369496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3369496,1.3369496,0.0,0.0,0.0,1.3369496,0.0
